CHILD 1 offset: 49 us | pulse_to_spi: 329 us | synced: 1890698.114000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1905703.714000 ms
CHILD 1 offset: 50 us | pulse_to_spi: 329 us | synced: 1920709.314000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 330 us | synced: 1935714.914000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 329 us | synced: 1950720.514000 ms
CHILD 1 offset: 50 us | pulse_to_spi: 330 us | synced: 1965726.114000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 329 us | synced: 1980731.714000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 329 us | synced: 1995737.314000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 329 us | synced: 2010742.914000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 329 us | synced: 2025748.514000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 329 us | synced: 2040754.114000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 330 us | synced: 2055759.714000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 330 us | synced: 2070765.314000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 329 us | synced: 2085770.914000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 330 us | synced: 2100776.514000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 329 us | synced: 2115782.114000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 329 us | synced: 2130787.714000 ms
CHILD 1 offset: 51 us | pulse_to_spi: 330 us | synced: 2145793.314000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 330 us | synced: 2160798.914000 ms
CHILD 1 offset: 53 us | pulse_to_spi: 329 us | synced: 2175804.514000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 330 us | synced: 2190810.114000 ms
CHILD 1 offset: 53 us | pulse_to_spi: 329 us | synced: 2205815.714000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 329 us | synced: 2220821.314000 ms
CHILD 1 offset: 52 us | pulse_to_spi: 330 us | synced: 2235826.914000 ms
