CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2851059.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2866065.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2881070.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2896076.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2911081.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 2926087.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2941093.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2956098.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2971104.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2986109.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3001115.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3016121.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3031126.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3046132.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3061137.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3076143.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3091149.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3106154.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3121160.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3136165.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3151171.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3166177.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3181182.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3196188.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3211193.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 3226199.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3241205.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3256210.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3271216.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3286221.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3301227.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3316233.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3331238.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3346244.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3361249.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3376255.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 3391261.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3406266.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3421272.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3436277.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3451283.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3466289.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3481294.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3496300.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3511305.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 3526311.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3541317.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 3556322.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 3571328.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 3586333.000000 ms
