CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2055759.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2070765.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2085771.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2100776.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2115782.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2130787.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2145793.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2160799.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2175804.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2190810.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2205815.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2220821.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2235827.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2250832.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2265838.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2280843.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2295849.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2310855.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2325860.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2340866.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2355871.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2370877.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2385883.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2400888.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2415894.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2430899.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2445905.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2460911.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2475916.000000 ms
