*** Booting Zephyr OS build zephyr-v40201 ***
child: configured CHILD_ID=1
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1815673.117000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 330 us | synced: 1830678.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1845684.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1860689.917000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 1875695.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 1890701.117000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 1905706.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1920712.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1935717.917000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1950723.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1965729.117000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 1980734.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1995740.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 2010745.917000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 2025751.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 2040757.117000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 2055762.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 2070768.317000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 2085773.917000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 2100779.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 2115785.117000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 330 us | synced: 2130790.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2145796.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005978 us | synced: 2160801.917000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005978 us | synced: 2175807.517000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005977 us | synced: 2190813.117000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005979 us | synced: 2205818.717000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 15005978 us | synced: 2220824.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005978 us | synced: 2235829.917000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005978 us | synced: 2250835.517000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005979 us | synced: 2265841.117000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 15005979 us | synced: 2280846.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005978 us | synced: 2295852.317000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005979 us | synced: 2310857.917000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 15005978 us | synced: 2325863.517000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005979 us | synced: 2340869.117000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 15005977 us | synced: 2355874.717000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005978 us | synced: 2370880.317000 ms
CHILD 1 offset: 49 us | pulse_to_spi: 15005978 us | synced: 2385885.917000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005977 us | synced: 2400891.517000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005978 us | synced: 2415897.117000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005977 us | synced: 2430902.717000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 15005977 us | synced: 2445908.317000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 15005977 us | synced: 2460913.917000 ms
